                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5561,                 1.1983,                 1.4417,                0.42343,                0.55654,                0.52301,                0.23994,                 2.2386,                 2.0487,                 2.4281,               0.003466,               0.003466,               0.003466
                     35,                 1.5164,                 1.1859,                 1.4409,                0.50372,                0.60139,                0.57905,                0.27601,                  2.198,                 1.8035,                 2.3874,               0.003268,               0.003268,               0.003268
                     36,                 1.5235,                 1.1887,                 1.4558,                0.67846,                0.53451,                0.55796,                0.25228,                  2.174,                 1.6357,                 2.4531,                0.00307,                0.00307,                0.00307
                     37,                 1.4848,                 1.0847,                 1.4221,                0.75872,                0.59792,                0.59163,                0.26037,                 2.2543,                 1.5848,                 2.4655,               0.002872,               0.002872,               0.002872
                     38,                 1.4512,                 1.1008,                 1.4083,                 0.6588,                0.59792,                0.56683,                0.26573,                 2.2327,                 1.5896,                 2.4176,               0.002674,               0.002674,               0.002674
                     39,                 1.4238,                 1.0384,                 1.3392,                  0.616,                0.59792,                0.56477,                0.26571,                 2.1401,                 1.6592,                 2.3746,               0.002476,               0.002476,               0.002476
                     40,                  1.542,                 1.0327,                 1.5075,                0.60465,                0.65864,                0.57629,                0.27172,                 2.1585,                 1.7178,                 2.4558,               0.002278,               0.002278,               0.002278
                     41,                 1.4542,                0.97371,                 1.4346,                0.55232,                0.72569,                0.63789,                0.28863,                 2.1254,                 1.5105,                 2.3684,                0.00208,                0.00208,                0.00208
                     42,                  1.414,                0.96696,                 1.4161,                0.57875,                0.54535,                0.60377,                0.30267,                 2.0639,                 1.4726,                 2.2919,               0.001882,               0.001882,               0.001882
                     43,                 1.3745,                0.91651,                 1.3916,                0.44177,                0.71234,                0.58491,                0.29991,                 2.0598,                  1.497,                 2.3102,               0.001684,               0.001684,               0.001684
                     44,                 1.2918,                0.84158,                 1.3614,                0.65449,                0.57443,                0.60908,                0.29511,                 2.0923,                 1.5182,                  2.357,               0.001486,               0.001486,               0.001486
                     45,                 1.3123,                0.84964,                 1.3716,                0.51535,                0.62917,                0.57683,                0.26578,                  2.152,                 1.6255,                 2.3647,               0.001288,               0.001288,               0.001288
                     46,                 1.2851,                0.82585,                 1.3546,                0.66475,                0.62226,                0.60522,                0.26594,                 2.1494,                 1.5794,                 2.3866,                0.00109,                0.00109,                0.00109
                     47,                 1.2793,                0.79113,                 1.3715,                0.62193,                0.69321,                0.65277,                0.28516,                 2.1482,                 1.4193,                 2.3535,               0.000892,               0.000892,               0.000892
                     48,                 1.2522,                0.77884,                 1.3134,                0.69953,                0.62362,                0.65683,                  0.288,                 2.1383,                   1.41,                 2.3428,               0.000694,               0.000694,               0.000694
                     49,                 1.2169,                0.75611,                 1.3153,                0.67293,                0.64702,                0.64604,                0.29728,                  2.149,                 1.3905,                 2.3406,               0.000496,               0.000496,               0.000496
